name,full_name,forks_count,stargazers_count,watchers_count,open_issues_count
website,openeuler/website,38,27,14,14
infrastructure,openeuler/infrastructure,71,25,42,52
gitbook-theme-hugo,openeuler/gitbook-theme-hugo,0,4,38,1
docs,openeuler/docs,128,67,56,43
community,openeuler/community,503,183,107,333
ci-bot,openeuler/ci-bot,23,21,14,8
go-gitee,openeuler/go-gitee,17,20,15,1
openeuler-jenkins,openeuler/openeuler-jenkins,21,8,39,5
integration-test,openeuler/integration-test,45,13,16,15
community-issue,openeuler/community-issue,0,20,15,116
iSulad,openeuler/iSulad,150,307,69,13
lcr,openeuler/lcr,19,13,7,3
iSulad-img,openeuler/iSulad-img,10,13,6,2
clibcni,openeuler/clibcni,7,8,6,2
A-Tune,openeuler/A-Tune,108,230,52,16
kae_driver,openeuler/kae_driver,1,0,132,0
libkae,openeuler/libkae,2,0,133,0
libwd,openeuler/libwd,2,0,133,0
prefetch_tuning,openeuler/prefetch_tuning,4,4,8,0
kernel,openeuler/kernel,317,652,204,126
tool-collections,openeuler/tool-collections,3,3,10,0
blog,openeuler/blog,13,1,16,5
security-committee,openeuler/security-committee,9,6,8,5
mate-desktop,openeuler/mate-desktop,1,2,4,3
libboundscheck,openeuler/libboundscheck,14,31,14,0
raspberrypi,openeuler/raspberrypi,23,41,14,11
raspberrypi-kernel,openeuler/raspberrypi-kernel,13,15,6,3
ha-api,openeuler/ha-api,13,3,10,4
pacemaker-mgmt,openeuler/pacemaker-mgmt,2,0,8,1
ha-web,openeuler/ha-web,4,1,9,2
ros,openeuler/ros,10,5,5,25
compass-ci,openeuler/compass-ci,28,32,17,21
openEuler-Advisor,openeuler/openEuler-Advisor,100,19,18,32
avocado,openeuler/avocado,6,5,5,1
avocado-vt,openeuler/avocado-vt,12,13,19,4
EulerRobot,openeuler/EulerRobot,3,2,11,0
QA,openeuler/QA,29,15,18,4
tp-libvirt,openeuler/tp-libvirt,7,6,15,0
tp-qemu,openeuler/tp-qemu,10,7,14,0
oec-hardware,openeuler/oec-hardware,13,2,6,20
oec-application,openeuler/oec-application,3,0,3,4
abichecker,openeuler/abichecker,2,0,10,1
